12:05:16 INFO  : Registering command handlers for SDK TCF services
13:08:16 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:08:16 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent JTAG-HS2 210249A1461F" && level==0} -index 0' command is executed.
13:08:18 INFO  : FPGA configured successfully with bitstream "C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper_hw_platform_0/download.bit"
14:47:15 INFO  : Example project hello_bsp_xgpio_example_1 has been created successfully.
14:47:16 INFO  : Example project hello_bsp_xgpio_low_level_example_1 has been created successfully.
14:50:34 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
14:50:34 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent JTAG-HS2 210249A1461F" && level==0} -index 0' command is executed.
14:50:36 INFO  : FPGA configured successfully with bitstream "C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper_hw_platform_0/download.bit"
14:57:57 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
14:57:57 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent JTAG-HS2 210249A1461F" && level==0} -index 0' command is executed.
14:57:59 INFO  : FPGA configured successfully with bitstream "C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper_hw_platform_0/download.bit"
14:58:28 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
14:58:28 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent JTAG-HS2 210249A1461F" && level==0} -index 0' command is executed.
14:58:30 INFO  : FPGA configured successfully with bitstream "C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper_hw_platform_0/download.bit"
16:45:04 ERROR : Unexpected error while parsing XMD response ?: com.google.gson.JsonSyntaxException: com.google.gson.stream.MalformedJsonException: invalid number or unquoted string near 
